(재)지정일자,업소명,소재지(도로명),위도,경도,소재지전화번호,음식의유형,주된음식,면적(m2),입식좌식여부,휠체어이용가능여부,휠체어예약가능여부,데이터기준일
2024-10-25,(주)원일유통 춘천(상)휴게소,강원특별자치도 춘천시 동내면 영서로 1432,37.812785,127.766134,033-264-0500,한식,"순두부찌개, 닭갈비",420.63,입식,가능,가능,2025-05-01
2024-10-25,(주)춘천장어마을,강원특별자치도 춘천시 구마니1길 36-11,37.86878,127.703933,033-253-4077,한식,장어요리전문,344,입식,불가,불가,2025-05-01
2024-10-25,9우미닭갈비만천점,"강원특별자치도 춘천시 동면 만천로143번길 46-4, 1층",37.879921,127.761854,033-255-8422,한식,"닭갈비,막국수",173.31,둘다,가능,가능,2025-05-01
2024-10-25,감미옥설렁탕,"강원특별자치도 춘천시 춘천로 217, 1층 (효자동)",37.878024,127.737863,033-256-3808,한식,설렁탕,317.83,입식,가능,가능,2025-05-01
2024-10-25,강원한우타운,"강원특별자치도 춘천시 지석로 11, 별관동 3층 (퇴계동)",37.853533,127.737494,033-261-9253,한식,한우전문점,780.42,좌식,가능,가능,2025-05-01
2024-10-25,강촌막국수,강원특별자치도 춘천시 남산면 강촌로 62-1,37.813242,127.63359,033-262-9868,한식,"막국수,편육",35.61,둘다,가능,가능,2025-05-01
2024-10-25,고미고미,"강원특별자치도 춘천시 근화길 15번길 17, 1층(근화동)",37.872759,127.717262,033-256-1562,한식,생선구이,71.04,입식,가능,가능,2025-05-01
2024-10-25,거두정춘천거두리본점,강원특별자치도 춘천시 동내면 춘천순환로 114,37.856132,127.756498,033-263-9291,한식,"삼겹살, 목살",128.7,입식,가능,가능,2025-05-01
2024-10-25,곰배령,"강원특별자치도 춘천시 춘천로 19, 1층 (온의동)",37.866831,127.721172,033-255-5500,한식,한정식,224.21,둘다,불가,불가,2025-05-01
2024-10-25,공지천왕갈비,강원특별자치도 춘천시 효자로 5 (퇴계동),37.865436,127.725848,033-251-0791,한식,갈비,217.52,좌식,불가,불가,2025-05-01
2024-10-25,구울래머글래,강원특별자치도 춘천시 대양당길9번길 15(후평동),37.876814,127.753736,033-242-3133,한식,"생삼겹살, 생갈매기살",123.04,입식,불가,불가,2025-05-01
2024-10-25,귀품찬곽만근숯불갈비(춘천점),강원특별자치도 춘천시 동내면 춘천순환로 65,37.855977,127.751191,033-263-9299,한식,숯불갈비,340.48,입식,불가,불가,2025-05-01
2024-10-25,그랑셰프(클럽하우스),강원특별자치도 춘천시 남산면 북한강변길 688,37.830134,127.578819,033-260-2760,한식,"유황오리백숙,우거지해장국",607.81,입식,가능,가능,2025-05-01
