nameKo,bizType,addressRoad,phone,category,lat,lng,geocodeSource
춘천세종호텔,관광호텔,강원특별자치도 춘천시 봉의산길 31 (봉의동),033-252-1191,여행 > 숙박 > 호텔,37.8866252853171,127.731541748401,kakao-address
동성모텔,여관업,강원특별자치도 춘천시 중앙로166번길 4 (근화동),033-254-2944,,37.8752508619803,127.716941979601,kakao-address
삼화여인숙,여인숙업,강원특별자치도 춘천시 중앙로124번길 12 (소양로4가),033-254-4724,"여행 > 숙박 > 여관,모텔",37.8770089723675,127.721537412304,kakao-address
짝모텔,여관업,강원특별자치도 춘천시 춘천로186번길 4 (효자동),033-244-8665,"여행 > 숙박 > 여관,모텔",37.8762685053978,127.734718970183,kakao-address
별장모텔,여관업,강원특별자치도 춘천시 중앙로 186-8 (근화동),033-254-2754,"여행 > 숙박 > 여관,모텔",37.8746963033052,127.714918155997,kakao-address
"호텔정관루별관(투투별장,아뜰리에별장,문학인촌)",여인숙업,강원특별자치도 춘천시 남산면 남이섬길 1,031-582-2197,,37.7901249506709,127.526128703219,kakao-address
강릉여인숙,여인숙업,강원특별자치도 춘천시 가연길5번길 2-2 (소양로4가),033-254-4539,,37.8770706685937,127.722010504619,kakao-address
k모텔,여관업,강원특별자치도 춘천시 시청길12번길 18 (조양동),033-253-6034,"여행 > 숙박 > 여관,모텔",37.8790464264499,127.729969705932,kakao-address
조인모텔,여관업,강원특별자치도 춘천시 중앙로166번길 5 (근화동),033-252-6567,"여행 > 숙박 > 여관,모텔",37.8752350865299,127.716662340163,kakao-address
공주여관,여관업,강원특별자치도 춘천시 공지로 473-1 (근화동),033-254-2414,,37.8748528460742,127.71508776918,kakao-address
삼진장여관,여관업,강원특별자치도 춘천시 공지로 472-1 (근화동),033-254-8485,"여행 > 숙박 > 여관,모텔",37.874953852767,127.715515759451,kakao-address
명화여인숙,여인숙업,강원특별자치도 춘천시 중앙로124번길 3 (소양로4가),033-254-5394,,37.876489153789,127.721019732617,kakao-address
리츠호텔,여관업,강원특별자치도 춘천시 공지로451번길 1 (근화동),033-241-0798,여행 > 숙박 > 호텔,37.873861540528,127.717444060331,kakao-address
해피장여관,여관업,강원특별자치도 춘천시 공지로 471-1 (근화동),033-254-6850,"여행 > 숙박 > 여관,모텔",37.874729095739,127.715170566036,kakao-address
작은별장,여관업,강원특별자치도 춘천시 공지로 472 (근화동),033-257-7177,,37.8748431855981,127.715595272524,kakao-address
한성장여관,여관업,강원특별자치도 춘천시 동부시장길 5-2 (운교동),033-255-3800,"여행 > 숙박 > 여관,모텔",37.876955139965,127.733644191092,kakao-address
해원장여관,여관업,강원특별자치도 춘천시 공지로461번길 13-2 (근화동),033-243-8686,,37.8730931285312,127.715906125381,kakao-address
송림장여관,여관업,강원특별자치도 춘천시 중앙로 162 (근화동),033-254-6138,"여행 > 숙박 > 여관,모텔",37.8752427257193,127.717464162128,kakao-address
호텔정관루본관,일반호텔,강원특별자치도 춘천시 남산면 남이섬길 1,031-580-8119,,37.7901249506709,127.526128703219,kakao-address
대지여관,여관업,강원특별자치도 춘천시 공지로 473-2 (근화동),033-254-5487,"여행 > 숙박 > 여관,모텔",37.8749413661731,127.715079759571,kakao-address
소나무집여인숙,여인숙업,강원특별자치도 춘천시 북산면 추곡약수길 89-2,,,38.037698781525,127.888920829965,kakao-address
에스파스 호스텔,관광호텔,강원특별자치도 춘천시 닥나무길 12 (효자동),033-256-2230,여행 > 숙박,37.8697699669277,127.725864956755,kakao-address
황토모텔,여관업,강원특별자치도 춘천시 서부대성로44번길 3 (요선동),033-241-8599,"여행 > 숙박 > 여관,모텔",37.8830136159047,127.727868676759,kakao-address
이오스모텔,여관업,강원특별자치도 춘천시 춘천로186번길 9 (효자동),033-241-5590,,37.8757873469487,127.734945374038,kakao-address
금수장여관,여관업,강원특별자치도 춘천시 남춘로 32 (퇴계동),033-264-8433,"여행 > 숙박 > 여관,모텔",37.8636998097505,127.731649731913,kakao-address
호텔라임,여관업,강원특별자치도 춘천시 중앙로68번길 22-4 (소양로3가),033-257-2860,"여행 > 숙박 > 여관,모텔",37.8811261233741,127.725657792372,kakao-address
메이하우스,여관업,강원특별자치도 춘천시 남산면 남이섬길 1,031-582-2181,,37.7901249506709,127.526128703219,kakao-address
