업태,업소명,영업소주소,소재지전화,데이터기준일자
관광호텔,춘천세종호텔,강원특별자치도 춘천시 봉의산길 31 (봉의동), 033- 252-1191,2025-07-17
여관업,동성모텔,강원특별자치도 춘천시 중앙로166번길 4 (근화동), 033- 254-2944,2025-07-17
여인숙업,삼화여인숙,강원특별자치도 춘천시 중앙로124번길 12 (소양로4가), 033- 254-4724,2025-07-17
여관업,짝모텔,강원특별자치도 춘천시 춘천로186번길 4 (효자동), 033- 244-8665,2025-07-17
여관업,별장모텔,강원특별자치도 춘천시 중앙로 186-8 (근화동), 033- 254-2754,2025-07-17
여인숙업,"호텔정관루별관(투투별장,아뜰리에별장,문학인촌)",강원특별자치도 춘천시 남산면 남이섬길 1, 031- 582-2197,2025-07-17
여인숙업,강릉여인숙,강원특별자치도 춘천시 가연길5번길 2-2 (소양로4가), 033- 254-4539,2025-07-17
여관업,k모텔,강원특별자치도 춘천시 시청길12번길 18 (조양동),033 -253 -6034,2025-07-17
여관업,조인모텔,강원특별자치도 춘천시 중앙로166번길 5 (근화동), 033-252 -6567,2025-07-17
여관업,공주여관,강원특별자치도 춘천시 공지로 473-1 (근화동), 033- 254-2414,2025-07-17
여관업,삼진장여관,강원특별자치도 춘천시 공지로 472-1 (근화동), 033- 254-8485,2025-07-17
여인숙업,명화여인숙,강원특별자치도 춘천시 중앙로124번길 3 (소양로4가), 033- 254-5394,2025-07-17
여관업,리츠호텔,강원특별자치도 춘천시 공지로451번길 1 (근화동), 033- 241-0798,2025-07-17
여관업,해피장여관,강원특별자치도 춘천시 공지로 471-1 (근화동), 033- 254-6850,2025-07-17
여관업,작은별장,강원특별자치도 춘천시 공지로 472 (근화동), 033- 257-7177,2025-07-17
여관업,한성장여관,강원특별자치도 춘천시 동부시장길 5-2 (운교동), 033- 255-3800,2025-07-17
여관업,해원장여관,강원특별자치도 춘천시 공지로461번길 13-2 (근화동),033 -243 -8686,2025-07-17
