업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명,데이터기준일자
일반음식점,촌집닭갈비,강원특별자치도 춘천시 남산면 강촌로 68,강원특별자치도 춘천시 남산면 강촌리 227-71 ,,식육(숯불구이),2026-05-27
일반음식점,샘토명물닭갈비본점,"강원특별자치도 춘천시 충열로 175, 1,2동 1층 (우두동)",강원특별자치도 춘천시 우두동 1018-4 ,,한식,2026-05-27
일반음식점,해바라기,"강원특별자치도 춘천시 전원길 1, 1층 (운교동)",강원특별자치도 춘천시 운교동 188-8 ,,분식,2026-05-27
일반음식점,이모네장터,"강원특별자치도 춘천시 행촌로 36-1 (퇴계동, 1층)",강원특별자치도 춘천시 퇴계동 902-10 ,,한식,2026-05-27
일반음식점,화톳불,강원특별자치도 춘천시 세실로192번길 6 (후평동),강원특별자치도 춘천시 후평동 882-7 ,,호프/통닭,2026-05-27
일반음식점,오도순순대국,"강원특별자치도 춘천시 퇴계농공로 13, 1층 (석사동)",강원특별자치도 춘천시 석사동 890-2 (1층) ,,한식,2026-05-27
일반음식점,한량,"강원특별자치도 춘천시 약사고개길46번길 14-16, 2층 (약사동)",강원특별자치도 춘천시 약사동 86-7 ,,기타,2026-05-27
일반음식점,차이나게이트,"강원특별자치도 춘천시 애막골길7번길 31-1, 1층 (석사동)",강원특별자치도 춘천시 석사동 737-3 ,,중국식,2026-05-27
일반음식점,춘하추동,강원특별자치도 춘천시 북산면 오봉산길 697,강원특별자치도 춘천시 북산면 청평리 산 188-8 ,,한식,2026-05-27
일반음식점,문어랑,"강원특별자치도 춘천시 애막골길7번길 25, 1층 (석사동)",강원특별자치도 춘천시 석사동 737-9 (1층) ,,한식,2026-05-27
일반음식점,춘천집,강원특별자치도 춘천시 공지로 61-4 (석사동),강원특별자치도 춘천시 석사동 635-7 ,,한식,2026-05-27
일반음식점,잭밀러,"강원특별자치도 춘천시 스무숲2길 1, 1층 (석사동)",강원특별자치도 춘천시 석사동 940-1 (1층) ,,경양식,2026-05-27
일반음식점,진이식당,"강원특별자치도 춘천시 영서로 2352-44, 풍물시장 92, 93, 94호 (온의동)",강원특별자치도 춘천시 온의동 148-1 풍물시장 ,,한식,2026-05-27
